,name,description,business_model,target,keywords,stage,founded,employees
0,A Thousand Colibris,"The goal of this company is to improve the mental health and well-being of women who become mothers through Dana, a digital and preventive health solution for the healthcare system. A Thousand Colibris is a startup that has started its steps in Barcelona and is dedicated to digital well-being. It focuses on providing holistic solutions based on Artificial Intelligence to enable the best start in life by maximizing the health and well-being of mothers, fathers and children during their fatherhood journey.","Consultancy & Agency, Saas, Subscription",Consumer,HealthtechAI & Big DataDigital Content & Media ICT & Mobile Beauty & Personal care  Undisclosed Funding,-1,Founded: 2020,15
1,AAM,"We are developing disruptive aeronautical solutions for urban air mobility (UAM).  We design, manufacture and sale electric aerial vehicles for personal commuting, together with all associated fleet management, repair and maintenance services, as well as any other Mobility-as-a-Service (MaaS) services.","Development & Manufacturing, Subscription",Consumer,Sustainable mobilityAutomationRobotics & Collaborative Robotics Additive manufacturing AI & Big Data Connectivity  Seed,2,Founded: 2019,5
2,ABLE Human Motion,"Spinal cord injury is a catastrophic event that thrusts 5 million people worldwide into a life challenged by disability. These people could walk again if they had a robotic exoskeleton. However, current devices are expensive, heavy and require supervision. ABLE is the first lightweight, easy-to-use and affordable exoskeleton that restores their ability to walk naturally and intuitively. It helps palliating health complications while boosting self-confidence and independence.","Development & Manufacturing, Ecommerce & Trade","Business, Consumer",HealthtechRobotics & Collaborative RoboticsSustainable mobility Additive manufacturing AI & Big Data Cloud & Edge Computing Connectivity Digital Health  Series A,3,Founded: 2018,2
3,ACQUSTIC,"Acqustic is an on-line platform in order people and companies could hire live music anywhere. Thanks to Acqustic in some clicks and watching an amazing Full HD video done for every musician you can easely hire live music for your private events, corporate events, hotels and much more.  Send us an email and let's have a coffe. I am sure we may do something together.  Al mateix temps, Acqustic permet als músicas a través impulsar la seva carrera musical a través d'una app.","Marketplace, Subscription","Business, Consumer",Digital Content & MediaAutomation Seed,2,Founded: 2017,7
4,ACTIONTRACKER SOLUTIONS,"manufacturer of hardware and software for Iot, civil protection, minery, oil and gas, boats and ships.","Consultancy & Agency, Marketplace",Business,Logistic TechCybersecurityHardware IoT & Sensors  Undisclosed Funding,-1,Founded: 2015,0
5,ACTIVA DUAL,Our business model allows both candidates and companies to use our employment portal for free. Our clients are the training centers with which we collaborate and to which we invoice.,"Consultancy & Agency, Saas","Business, Consumer",Business Services & SoftwareCloud & Edge Computing Pre-seed,1,Founded: 2012,2
6,ADAS3D,"Galgo Medical is a medical imaging software company.  products: • Arrhythmias (ADAS3D), to identify the arrhythmic substrate and to plan catheter ablation procedures.  • Osteoporosis (3D-SHAPER), to improve diagnosis by turning DXA images into 3D patient-specific models.  • Intra-cranial aneurysms (ANKYRAS), to plan, for each patient, the endovascular treatment with braided devices. • Epilepsy (SYLVIUS platform), to tailor the implantation of deep electrodes using complex 3D multimodal data.","Development & Manufacturing, Software licence",Business,HealthtechAI & Big DataAR/VR  Seed,2,Founded: 2013,18
7,ADDA ADVANCED DIGITAL DESIGN AND ARCHITECTURE,"We help companies, organizations and individuals to close the digital gap in the areas of design and architecture.",Consultancy & Agency,Business,Business Services & SoftwareIoT & Sensors Undisclosed Funding,-1,Founded: 2021,0
8,ADNCiclista,"Company that has developed an application to prepare a weekly cycling training plan, with useful tips, real-time notices, personal trainers, Compatible Strava-Garmin (system that allows you to share the activity of the user in other platforms), integrated chat, etc.","Consultancy & Agency, Development & Manufacturing, Marketplace, Software licence","Business, Consumer",SportsCloud & Edge ComputingICT & Mobile  Undisclosed Funding,-1,Founded: 2018,0
9,ADmit,"ADmit Therapeutics is a spin-off from the Bellvitge Biomedical Research Institute (IDIBELL), and focused on the development and commercialization of a novel Alzheimer's disease (AD) early detection technology.",Development & Manufacturing,"Business, Consumer",HealthtechOmic Sciences Series A,3,Founded: 2017,6
