,comp_name,description,business_model,customer,keywords,stage,total_funding,num_investors,date_founded,location,employees,website
0,Cocuus,"Cocuus nace de la experiencia hostelera y la pasión por la tecnología y la innovación, de sus dos socios promotores, que tras una larga trayectoria y experiencia en el campo del diseño de maquinaria industrial, tecnología láser y robótica, emprenden el reto de abordar el mundo culinario a través de la mecatrónica. Con esta idea se concibe COCUUS, un equipo mecatrónico dotado con tecnología de corte láser, que se complementa con una fresadora, una manga para escudillar o hacer impresión 3D y una extrusora de polímeros para creación de moldes. Todo ello al servicio del cocinero, que puede así cortar, grabar, imprimir, marcar, cuajar y/o sintetizar alimentos con una precisión decimal.",,,Foodtech,,2.5,0,2017,"España, Navarra",,https://cocuus.com
1,Incapto Coffee,"Incapto Coffee es la alternativa real al café de cápsulas. Su café en grano de especialidad y sus cafeteras superautomáticas que muelen el café en grano, permiten con la misma facilidad de uso que el café de cápsulas, disfrutar de un café recién molido, con mucho más aroma y sabor, más económico, al ser el café en grano una materia prima y lo más importante, más sostenible, ya que el único residuo que se genera es el poso de café. Sin plásticos ni aluminios.",,,Foodtech,,5.1,5,2020,"Cataluña, España",,https://incapto.com/
2,Trustiu,"Trustiu es un marketplace de propiedades digitales, como los canales de YouTube y Webs, que garantiza la seguridad y transparencia que requieren este tipo de transacciones. Salvaguardar al vendedor y al comprador durante todo el proceso es su objetivo. Con su presencia, el mercado online es más seguro.",,,,,,4,2019,"Cataluña, España",,https://www.trustiu.com/es/
3,OffUgo,"OffUgo es una empresa de alquiler de coches en ubicaciones turísticas. Ofrece una solución 100% digital y centrada en el cliente con el objetivo de garantizar una experiencia óptima a un precio competitivo gracias a la tecnología. 100% seguro, simple, transparente, y con cancelación gratuita.",,,,,0.6,2,2020,"Baleares, España",,https://www.offugo.es/es-ES/
4,Napptive,"Napptive es una empresa pionera en el ámbito de las plataformas cloud-native. Su misión es ayudar a desarrolladores, equipos de DevOps, y de IT Management a crear, desplegar y gestionar aplicaciones cloud-native.La necesidad de una plataforma como Napptive surge principalmente debido al incremento en los costes de desarrollo, integración y despliegue en entornos cloud o híbridos, así como la complejidad en la gestión de las tecnologías asociadas. Por ello, desde Napptive se dota a los equipos técnicos con las herramientas necesarias para ahorrar en costes y tiempo a la vez que disminuyen el número de errores que pueden darse durante el ciclo de desarrollo de las aplicaciones cloud-native.",,,Cloud,,,2,2021,"Comunidad de Madrid, España",,https://napptive.com
5,Amphora,"Amphora ofrece a los ecommerce soluciones logísticas. Cuenta con una red de almacenes, transportistas y una tecnología integrada para optimizar el proceso, desde que se produce una venta en una tienda online hasta que el producto llega al cliente final, mejorando tiempos de entrega, los costes de envío y la experiencia del cliente.",,,Logistica,,1.0,5,2020,"Cataluña, España",,https://www.amphoralogistics.com/
6,MOA Foodtech,MOA foodtech combina biotecnología e inteligencia artificial para convertir los residuos y subproductos de la industria agroalimentaria en una ''next generation protein'' con alto valor nutricional y 100% sostenible.,,B2B,Foodtech,,1.65,1,2020,"España, Navarra",,https://www.moafoodtech.com/
7,Bia Power,"Bia asegura una operación eficiente de la infraestructura de recarga para vehículo eléctrico, aumentando su potencial de escalabilidad y permitiendo una electrificación total del parque a mínimo coste. Su plataformaoptimiza la recarga, priorizandola energía más económica y descarbonizada, reduciendo el impacto en las instalaciones eléctricas, y alargando la vida útil de las baterías.",,,,,,0,2019,"Cataluña, España",,https://www.biapower.io
8,Kuorum,"Kuorum es una solución de voto electrónico con validez legal para todo tipo de organizaciones. Juntas de accionistas de grandes y pequeñas empresas, aprobación de cuentas de cooperativas o asociaciones, ratificación de juntas directivas de clubes deportivos, elecciones sindicales o de colegios profesionales; el SaaS de Kuorum se adapta a las necesidades de cada cliente permitiéndole lanzar una plataforma de voto telemático personalizada en menos de 1 minuto. Su tecnología cumple con el Reglamento Europeo de Identificación Electrónica y también permite a gobiernos crear webs de participación ciudadana desde las que abrir debates, consultas, encuestas, peticiones o presupuestos participativos.",,,,,,0,2013,"Comunidad de Madrid, España",,https://kuorum.org
9,Erudit AI,"Erudit AI es un People Intelligence Saas que identifica el Burnout, el Compromiso y las Fricciones para ayudar a mejorar el Bienestar y la cultura de una organización.",,,"Talento,Laboral",,1.3,5,2019,"Comunidad de Madrid, España",,https://erudit.ai/
10,Minoryx Therapeutics,Minoryx Therapeutics es una startup del sector Biotech que está especializada en el desarrollo de fármacos para enfermedades raras o minoritarias.,,,Biotech,,51.0,1,2011,"Cataluña, España",,https://www.minoryx.com
11,RobinFood,,,,,,48.0,0,,"América, Colombia",,
12,Product Hackers,"Product Hackers  acelera el crecimiento de tu negocio o producto digital para hacerlo más sólido, eficaz y rentable a largo plazo, con su método científico de experimentación continua SOLID Growth.Tomarás decisiones de negocio más seguras, fiables y con resultados, basándote en datos probados en cada etapa de tu funnel.",,,Services,,0.55,0,2017,"Comunidad de Madrid, España",,https://producthackers.com/es/
13,Erudit AI,"Erudit AI es un People Intelligence Saas que identifica el Burnout, el Compromiso y las Fricciones para ayudar a mejorar el Bienestar y la cultura de una organización.",,,"Talento,Laboral",,1.3,5,2019,"Comunidad de Madrid, España",,https://erudit.ai/
14,Onalabs,"Onalabs es una empresa dedicada al desarrollo de wearables no invasivos, remotos e inteligentes que permiten la biomonitorización continua de analitos y parámetros fisiológicos de las personas. La tecnología patentada de Onalabs permite por primera vez convertir el sudor en un fluido inteligente y la piel en una base de datos de salud. Mejorando muy significativamente la prevención y el diagnóstico de las personas al poder disponer de manera continua los datos de salud personalizados sin necesidad de ir a centros médicos y contribuyendo así, a una mejora de la sostenibilidad de sistema sanitario.",,,Ehealth,,1.2,11,2016,"Cataluña, España",,https://www.onalabs.com
15,Napptive,"Napptive es una empresa pionera en el ámbito de las plataformas cloud-native. Su misión es ayudar a desarrolladores, equipos de DevOps, y de IT Management a crear, desplegar y gestionar aplicaciones cloud-native.La necesidad de una plataforma como Napptive surge principalmente debido al incremento en los costes de desarrollo, integración y despliegue en entornos cloud o híbridos, así como la complejidad en la gestión de las tecnologías asociadas. Por ello, desde Napptive se dota a los equipos técnicos con las herramientas necesarias para ahorrar en costes y tiempo a la vez que disminuyen el número de errores que pueden darse durante el ciclo de desarrollo de las aplicaciones cloud-native.",,,Cloud,,,2,2021,"Comunidad de Madrid, España",,https://napptive.com
16,OffUgo,"OffUgo es una empresa de alquiler de coches en ubicaciones turísticas. Ofrece una solución 100% digital y centrada en el cliente con el objetivo de garantizar una experiencia óptima a un precio competitivo gracias a la tecnología. 100% seguro, simple, transparente, y con cancelación gratuita.",,,,,0.6,2,2020,"Baleares, España",,https://www.offugo.es/es-ES/
17,Trustiu,"Trustiu es un marketplace de propiedades digitales, como los canales de YouTube y Webs, que garantiza la seguridad y transparencia que requieren este tipo de transacciones. Salvaguardar al vendedor y al comprador durante todo el proceso es su objetivo. Con su presencia, el mercado online es más seguro.",,,,,,4,2019,"Cataluña, España",,https://www.trustiu.com/es/
18,SYCAI Medical,Sycai Medical es una startup tecnológica que desarrolla software basado en Deep Learning para facilitar el diagnóstico de lesiones abdominales en TACs y Resonancias Magnéticas. Su primer producto ayuda a los radiólogos en la detección y clasificación de lesiones en el páncreas con el objetivo de diagnosticar de manera precoz el cáncer de páncreas a la vez que reduce el número de pruebas innecesarias y la carga de trabajo de los radiólogos,,B2B,Ehealth,,1.56,2,2020,"Cataluña, España",,https://www.sycaimedical.com
19,Thytech,"Thytech es una spin-off del Instituto de Investigación Sanitaria Gregorio Marañón (IISGM) que nace con el objetivo de trasladar al paciente la tecnología patentada para el tratamiento de enfermedades relacionadas con alteraciones inmunológicas. La empresa surge del trabajo realizado por los investigadores del Laboratorio de Inmunoregulación. Su principal activo es una terapia celular con células thyTreg pionera en el mundo que puede establecer un nuevo paradigma en el entrenamiento de enfermedades autoinmunes con una alta incidencia en la población, como la artritis reumatoide, psoriasis, enfermedad de Crohn o la diabetes tipo 1.",,,Biotech,,0.35,0,2022,"Comunidad de Madrid, España",,http://inmunoregulacion.es
20,Time is Brain,"Time is Brain es una MedTech nacida con el objetivo de cambiar el impacto devastador que el ictus tiene sobre las personas que lo sufren y sus familiares, siendo la primera causa de discapacidad a nivel mundial. Desarrollan BraiN20®, un nuevo dispositivo médico que permite al personal sanitario implicado en el circuito asistencial del ictus tomar decisiones rápidas y precisas durante todo el circuito asistencial, mejorando el pronóstico de los pacientes y creando un punto de inflexión en el diagnóstico y tratamiento del ictus. Los fundadores de Time is Brain son neurólogos del Hospital Germans Trias Pujol, liderados por el KOL en ictus Dr. Antonio Dávalos, y que ya han proporcionado previamente soluciones disruptivas y con impacto global en las guías de práctica clínica del ictus.ODS (3).3. Garantizar una vida saludable y promover el bienestar para todos y todas en todas las edades.",,,Ehealth,,0.1,1,2020,"Cataluña, España",,http://www.tibtimeisbrain.com
21,Wegaw,"Wegaw combina datos por satélitecon machine learning para monitorizar variables medioambientales clave para la producciónde energías renovables. A través de monitorización de variables como agua, nieve u oleaje,empresas y gobiernos con activos de energíasrenovables pueden predecir de manera mucho más efectiva la producción energéticafutura. De esta manera, una predicción másprecisa de producción energéticafutura ayuda a reducir la volatilidad del MWh, el precio de los contratos a futuro, estabilizando los precios para garantizar un futuro sostenible y alcanzar el 100% de producción de energías renovables desde el espacio.",,,Energía,,1.0,1,2016,"Andalucía, España",,https://wegaw.com/
22,MOA Foodtech,MOA foodtech combina biotecnología e inteligencia artificial para convertir los residuos y subproductos de la industria agroalimentaria en una ''next generation protein'' con alto valor nutricional y 100% sostenible.,,B2B,Foodtech,,1.65,1,2020,"España, Navarra",,https://www.moafoodtech.com/
23,Amphora,"Amphora ofrece a los ecommerce soluciones logísticas. Cuenta con una red de almacenes, transportistas y una tecnología integrada para optimizar el proceso, desde que se produce una venta en una tienda online hasta que el producto llega al cliente final, mejorando tiempos de entrega, los costes de envío y la experiencia del cliente.",,,Logistica,,1.0,5,2020,"Cataluña, España",,https://www.amphoralogistics.com/
24,Cafler,"Cafler es la primera plataforma de movilidad delegada que, a través de tecnología inteligente propia, mueve un vehículo de forma eficiente y sostenible para realizar gestiones que no aportan valor añadido y que suponen una pérdida de tiempo para el propietario de este vehículo. Es decir, movemos tu coche por ti y, gracias a un algoritmo de creación propia,podemos hacerlo a un precio muy competitivo (9,99 euros, precio único).",,,Movilidad,,5.8,8,2020,"Cataluña, España",,https://cafler.com/
