,comp_name,description,business_model,customer,keywords,stage,total_funding,num_investors,date_founded,location,employees,website
0,amv caps de fornell,AMV CAPS is a company dedicated to the grinding and packaging of last generation coffee capsules.,Development & Manufacturing,,FoodtechAutomation Undisclosed Funding,-,,, 2013,,0,http://startupshub.catalonia.com
1,analitza,"Analitza helps companies reduce customer churn and drive cross-sells. Analitza detects which customers are at risk of churning and allows you act before it is too late.  Analitza takes advantage of the latest technologies in Artificial Intelligence to automatically learn the purchasing patterns of your customers, and it is able to detect when they change their behaviour.",Consultancy & Agency,,Business Services & SoftwareAI & Big Data Pre-seed,Pre-seed,,, 2017,,3,http://startupshub.catalonia.com
2,antartics,Antartics is a holding company developing and growing digital solutions to monetise social media audiences.,"Advertising, Consultancy & Agency",,AdtechAI & Big Data Undisclosed Funding,-,,, 2019,,0,http://startupshub.catalonia.com
3,antiloop studio,"Antiloop is a creative-tech studio that combines the physical and digital worlds, to create fascinating innovative experiences. It offers marketing and advertising tools to brands, agencies and public organizations","Advertising, R+D+I Services",,Digital Content & MediaAR/VR Undisclosed Funding,-,,, 2015,,0,http://startupshub.catalonia.com
4,aonchip,Develop IOT devices,"Development & Manufacturing, Marketplace, R+D+I Services",,HardwareConnectivityAI & Big Data IoT & Sensors Cloud & Edge Computing Water cycle technologies  Pre-seed,Pre-seed,,, 2018,,4,http://startupshub.catalonia.com
5,april plants,Company that has developed an application and a home plants website.,"Ecommerce & Trade, Marketplace, Saas, Subscription",,EcommerceNo technology assigned Undisclosed Funding,-,,,,,0,http://startupshub.catalonia.com
6,arch max,"Thanks  to  the  creativity  and  efficiency  of  the  team,  it  has  become  a  benchmark  in  the  footwear  field.  All  this  Know  how  transformed  us  into  a  laboratory  of  design  and  production  of  sports  equipment.","Development & Manufacturing, Ecommerce & Trade, R+D+I Services",,SportsAI & Big DataFashion & Design  Series A,Series A,,, 2012,,3,http://startupshub.catalonia.com
7,arrowfist,"Arrowfist Games is a small indie company based in Barcelona, formed by four members, with several years of experience in the videogame industry.","Software licence, Subscription",,GamingIoT & Sensors Undisclosed Funding,-,,, 2021,,0,http://startupshub.catalonia.com
8,artesans en xarxa,Marketplace venda al detalle.,Ecommerce & Trade,,EcommerceConnectivity Seed,Seed,,, 2019,,4,http://startupshub.catalonia.com
9,ase optics europe,"ASE Optics Europe specializes in optical engineering, design and fabrication for product development. We design and develop custom optoelectronic and optomechanical systems, precision optics and prototypes.","Development & Manufacturing, R+D+I Services, Others",,HealthtechAutomation Seed,Seed,,, 2011,,8,http://startupshub.catalonia.com
10,"asgard space, sociedad limitada",Asgard enables transparent and safe use of geostationary orbits by providing high accuracy ephemerides to support satellite operations and space situational awareness.,,,ICT & MobileAutomation Series B,Series B,,, 2018,,0,http://startupshub.catalonia.com
11,associació sheleader,"A community of women entrepreneurs, businesswomen and managers, working for your professional growth and development. Through networks to innovate, co-create and advance gender equality",Subscription,,Community & Social networkConnectivity Undisclosed Funding,-,,, 2018,,0,http://startupshub.catalonia.com
12,atelier mel,"Art, technology and engineering blended in a process that enables the design and creation of limitless art installations",Ecommerce & Trade,,Fashion & DesignAutomation Undisclosed Funding,-,,, 2014,,0,http://startupshub.catalonia.com
13,atm media,"ATM Media TV offers live video to sports teams, leagues and facilities through an award-winning, affordable video and analytics solution.","Ecommerce & Trade, Others",,Digital Content & MediaAI & Big Data Undisclosed Funding,-,,, 2021,,0,http://startupshub.catalonia.com
14,atriom,"ATRIOM is a multisided platform made by Installers for Installers that puts in contact professionals with end-customers in the Utility Market.  Atriom's aim is to create a MSP for energy and energy efficiency market and  structure it with fair prices (VAT incl.), the highest standards of safety and  service.  Atriom's cloud-based platform provides a ""Uber-like"" service to Customers and a powerful tool to its affiliated. It is fully scalable.  Acquiring more data  we will activate Big Data and AI.","Ecommerce & Trade, Marketplace",,Business Services & SoftwareAI & Big Data Pre-seed,Pre-seed,,, 2018,,2,http://startupshub.catalonia.com
15,attendo.me,Attendo is a Cloud Web and SaaS software of ticketing helpdesk andservices. All companies can communicate digitally with customers and suppliers. Two-way omnichannel is very broad from intelligent VoIP calls intelligent email management interaction with social networks WhatsApp SMS integration with IoT devices ... Our platform can be used from the office through a mobile app or remotely. All interactions and communications are fully recorded as well as documents photos files.,"Saas, Software licence",,Business Services & SoftwareCloud & Edge ComputingRobotics & Collaborative Robotics AI & Big Data IoT & Sensors Connectivity  Pre-seed,Pre-seed,,, 2020,,7,http://startupshub.catalonia.com
16,aureel tech,Aureel is a company specialized in the development of innovative sports electronic products to optimize the performance of training in different disciplines such as running or swimming using space technology.,,,SportsIoT & Sensors Undisclosed Funding,-,,, 2016,,0,http://startupshub.catalonia.com
17,ausum cloud,"Nuestra visión es que los servicios de nube pública son una ventaja a explotar y queremos contribuir a que las compañías puedan ser más competitivas y ofrecer mejor servicio a sus clientes, dedicando el foco en otras actividades de más valor específico para su negocio.",,,Business Services & SoftwareCloud & Edge ComputingAI & Big Data IoT & Sensors DLT/Blockchain Automation  Undisclosed Funding,-,,, 2016,,0,http://startupshub.catalonia.com
18,"avenueplanet, s.l.","Avenue Planet is the optimal experience hub for Virtual Reality. Users can walk down the 12 most important avenues in the world and access the top 1,000 most breathtaking experiences from the comfort of their own home.",,,AdtechAR/VR Undisclosed Funding,-,,, 2012,,0,http://startupshub.catalonia.com
19,avuxi,"AVUXI analyzes geo-tagged BigData from multiple sources to help uncover the social highlights of any place in the world, instantly visualizing what areas are popular for what, who and when. Mission: To give every company or person the power to truly understand location to make better decisions.","Saas, Subscription",,Traveltech & LeisureAI & Big Data Seed,Seed,,, 2017,,5,http://startupshub.catalonia.com
20,axess networks,Leading global player in the satellite communications industry. Líder global en telecomunicaciones satelitale,"Consultancy & Agency, Development & Manufacturing",,ICT & MobileNBS (Nature Based Solutions) Undisclosed Funding,-,,, 2019,,0,http://startupshub.catalonia.com
21,abacum,"FP&A software for technology financing teams. Goodbye, manual and time-consuming tasks. Hello, fast and valuable business information.",Software licence,,Business Services & SoftwareAI & Big DataICT & Mobile  Series B,Series B,,, 2020,,30,http://startupshub.catalonia.com
22,abaq online services,"Digital management for the self-employed. This company has created an infallible accounting technology to account for your client's business taxes. This technology, together with a team of expert advisors, means that with Abaq the user can know at all times how their business and taxes are going in an easy and simple way.","Consultancy & Agency, Saas, Software licence",,Business Services & SoftwareCloud & Edge Computing Undisclosed Funding,-,,, 2020,,0,http://startupshub.catalonia.com
23,abeona health,Abeona is a mobile application that allows you to control the symptoms of cancer patients through an intelligent reporting and alert system.,,,HealthtechAI & Big Data Undisclosed Funding,-,,, 2018,,0,http://startupshub.catalonia.com
24,abitari,"In Abitari, we develop technology to turn any tablet into a Check-In Kiosk for Hotels. By placing a tablet in the front desk, clients are able to check-in in their native language with a few clicks. With this check-in, lines at the front are reduced and clients don't have to wait. We are focus to improve customer satisfaction in a Hotel.","Development & Manufacturing, Saas, Subscription",,Business Services & SoftwareCloud & Edge ComputingHardware ICT & Mobile Proptech Traveltech & Leisure AI & Big Data IoT & Sensors Automation  Series A,Series A,,, 2016,,8,http://startupshub.catalonia.com
25,abroaden,The first wealth-building platform made for people living abroad,Subscription,,FintechAI & Big Data Pre-seed,Pre-seed,,, 2020,,0,http://startupshub.catalonia.com
26,abzu,"Abzu’s pioneering machine learning technology is inspired by quantum mechanics and neural networks, resulting in a transparent and trustworthy AI. Founded in February 2018, Abzu is an applied research startup with offices in Copenhagen, Denmark and Barcelona, Spain.",,,HealthtechAI & Big DataDigital Health  Series B,Series B,,, 2018,,0,http://startupshub.catalonia.com
27,academicid,"Connecting education in the XXI century provides a free, easy-to-use, amenable and accessible learning environment from any device.",,,EdtechCloud & Edge Computing Undisclosed Funding,-,,, 2014,,0,http://startupshub.catalonia.com
28,academy wee,Social startup,"Saas, Subscription",,EdtechIoT & Sensors Pre-seed,Pre-seed,,, 2020,,4,http://startupshub.catalonia.com
